time,id,value
123,85,11266
123,86,9587
123,87,9048
123,88,10632
123,89,9130
123,90,6969
123,91,10560
123,92,8971
123,93,12434
123,94,9674
123,95,9895
123,96,19067
123,97,0
123,98,0
123,99,0
123,100,0
123,101,21040
123,102,0
123,103,0
123,104,0
123,105,0
123,106,15760
123,107,0
123,108,0
123,109,0
123,110,0
123,111,18334
124,64,16073
124,65,13446
124,66,8706
124,67,7587
124,68,10445
124,69,8437
124,70,11735
124,71,12642
124,72,12490
124,73,16489
124,74,6257
124,75,8079
124,76,12062
124,77,11769
124,78,11848
124,79,8273
124,80,13572
124,81,12438
124,82,9036
124,83,11010
124,84,11910
124,85,11266
124,86,9587
124,87,9048
124,88,10632
124,89,9130
124,90,6969
124,91,10560
124,92,8971
124,93,12434
124,94,9674
124,95,9895
124,96,19067
124,97,0
124,98,0
124,99,0
124,100,0
124,101,21040
124,102,0
124,103,0
124,104,0
124,105,0
124,106,15760
124,107,0
124,108,0
124,109,0
124,110,0
124,111,18334
125,64,16073
125,65,13446
125,66,8706
125,67,7587
125,68,10445
125,69,8437
125,70,11735
125,71,12642
125,72,12490
125,73,16489
125,74,6257
125,75,8079
125,76,12062
125,77,11769
125,78,11848
125,79,8273
125,80,13572
125,81,12438
125,82,9036
125,83,11010
125,84,11910
125,85,11266
125,86,9587
125,87,9048
125,88,10632
125,89,9130
125,90,6969
125,91,10560
125,92,8971
125,93,12434
125,94,9674
125,95,9895
125,96,19067
125,97,0
125,98,0
125,99,0
125,100,0
125,101,21040
125,102,0
125,103,0
125,104,0
125,105,0
125,106,15760
125,107,0
125,108,0
125,109,0
125,110,0
125,111,18334
126,64,16073
126,65,13446
126,66,8706
126,67,7587
126,68,10445
126,69,8437
126,70,11735
126,71,12642
126,72,12490
126,73,16489
126,74,6257
126,75,8079
126,76,12062
126,77,11769
126,78,11848
126,79,8273
126,80,13572
126,81,12438
126,82,9036
126,83,11010
126,84,11910
126,85,11266
126,86,9587
126,87,9048
126,88,10632
126,89,9130
126,90,6969
126,91,10560
126,92,8971
126,93,12434
126,94,9674
126,95,9895
126,96,19067
126,97,0
126,98,0
126,99,0
126,100,0
126,101,21040
126,102,0
126,103,0
126,104,0
126,105,0
126,106,15760
126,107,0
126,108,0
126,109,0
126,110,0
126,111,18334
127,64,16073
127,65,13446
127,66,8706
127,67,7587
127,68,10445
127,69,8437
127,70,11735
127,71,12642
127,72,12490
127,73,16489
127,74,6257
127,75,8079
127,76,12062
127,77,11769
127,78,11848
127,79,8273
127,80,13572
127,81,12438
127,82,9036
127,83,11010
127,84,11910
127,85,11266
127,86,9587
127,87,9048
127,88,10632
127,89,9130
127,90,6969
127,91,10560
127,92,8971
127,93,12434
127,94,9674
127,95,9895
127,96,19067
127,97,0
127,98,0
127,99,0
127,100,0
127,101,21040
127,102,0
127,103,0
127,104,0
127,105,0
127,106,15760
127,107,0
127,108,0
127,109,0
127,110,0
127,111,18334
